姓名,别名,性别,籍贯,党派,出生时间,死亡时间
彭德怀,彭得华、清宗 、石穿,男,湖南湘潭,中国共产党,1898年10月24日,1974年11月29日
宋庆龄,,女,上海,中国共产党,1893年1月27日,1981年5月29日
粟裕,粟多珍、粟志裕,男,湖南会同,中国共产党,1907年8月10日,1984年2月5日
万里,,男,山东东平,中国共产党,1916年12月1日,2015年7月15日
王稼祥,王嘉祥、王稼蔷,男,安徽泾县,中国共产党,1906年8月15日,1974年1月25日
肖劲光,萧玉成,男,湖南长沙,中国共产党,1903年1月4日,1989年3月29日
习仲勋,,男,陕西富平,中国共产党,1913年10月15日,2002年5月24日
谢觉哉,,男,湖南宁乡,中国共产党,1884年4月27日,1971年6月15日
徐海东,,男,湖北大悟,中国共产党,1900年6月17日,1970年3月25日
徐向前,徐象谦,男,山西五台,中国共产党,1901年11月8日,1990年9月21日
许世友,,男,湖北麻城,中国共产党,1906年2月2日,1985年10月22日
叶剑英,叶宜伟,男,广东梅县,中国共产党,1897年04月28日,1986年10月22日
张爱萍,,男,四川达县,中国共产党,1910年1月9日,2003年7月5日
张闻天,张应皋、洛甫,男,上海南汇,中国共产党,1900年8月30日,1976年7月1日
蔡和森,,男,湖南双峰,中国共产党,1895年3月30日,1931年8月4日
陈独秀,陈庆同、陈乾生,男,安徽怀宁,中国共产党,1879年10月9日,1942年5月27日
邓中夏,,男,湖南宜章,中国共产党,1894年10月5日,1933年9月21日
方志敏,方远镇、正鹄,男,江西弋阳,中国共产党,1899年8月21日,1935年8月6日
吉鸿昌,吉恒立,男,陕西韩城,中国共产党,1895年10月18日,1934年11月24 日
李大钊,李守常,男,河北乐庭,中国共产党,1889年10月29日,1927年4月28日
彭湃,彭汉育,男,广东海丰,中国共产党,1896年10月22日,1929年8月30日
瞿秋白,瞿霜、瞿爽、瞿双,男,江苏常州,中国共产党,1899年1月29日,1935年6月18日
夏明翰,陈日习,男,湖南衡阳,中国共产党,1900年8月25日,1928年3月20日
向警予,向俊贤,女,湖南溆浦,中国共产党,1895年,1928年
叶挺,叶为询,男,广东归善,中国共产党,1896年9月10日,1946年4月8日
恽代英,,男,江苏武进,中国共产党,1895年8月12日,1931年4月29日
张太雷,张曾让、张椿年,男,江苏武进,中国共产党,1898年6月17日,1927年12月12日
左权,左纪权,男,湖南醴陵,中国共产党,1905年3月15日,1942年5月25日
艾思奇,李生萱,男,云南腾冲,中国共产党,1910年,1966年3月22日
冯友兰,芝生,男,河南唐河,中国国民党,1895年12月4日,1990年11月26日
老舍,舒庆春、老舍、絜青、鸿来、非我,男,北京,,1899年2月3日,1966年8月24日
梁漱溟,焕鼎、寿铭、寿名、瘦民、漱溟,男,北京,,1893年10月18日,1988年6月23日
廖沫沙,廖家权,男,湖南长沙,中国共产党,1907年1月16日,1990年12月27日
鲁迅,周树人、长庚、风声、尊古,男,浙江绍兴,,1881年9月25日,1936年10月19日
茅盾,沈德鸿、郎损、蒲牢、沈余、微明,男,浙江嘉兴,中国共产党,1896年7月4日,1981年3月27日
